Provincia,Trimestre,Año,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,Total,Porcent_Altas_vel
La Rioja,1,2016,2980,1254,2000,3,28679,21.74762020990969
La Rioja,3,2015,2984,832000,0,3,857929,97.32588594161055
La Rioja,4,2016,3334,1675,13000,3,38293,47.03731752539629
La Rioja,3,2017,3899,5604,23000,3,90885,35.76607801067283
La Rioja,4,2017,4083,5813,22000,3,83164,38.35674089750373
San Luis,4,2019,4164,525000,55216,3,737571,79.23074524350876
Jujuy,4,2017,7721,3507,44000,3,432161,12.780190715960025
Santa Cruz,4,2017,655000,100000,1000,3,931076,81.19670145079456
Santa Cruz,1,2018,655000,100000,1000,3,934870,80.86717939392642
Santa Cruz,2,2018,655000,100000,1000,3,934870,80.86717939392642
Santa Cruz,3,2018,778000,206000,1000,3,1159818,84.92737653666352
San Juan,4,2016,0,0,0,4,286612,0.0013956149777399412
San Juan,2,2016,0,0,0,4,340593,0.001174422257650627
San Juan,1,2017,0,0,0,4,258592,0.0015468382625912634
San Juan,2,2017,0,0,0,4,266592,0.0015004201176329372
San Juan,2,2019,2177,785000,7000,4,1096213,72.44769036674442
Formosa,4,2015,2704,2713,519000,4,546572,95.94728599342814
Santa Cruz,1,2019,2731,702000,26000,4,905725,80.67956609346105
Santa Cruz,2,2019,3806,1202,28000,4,166873,19.78270900625026
Santa Cruz,3,2019,4472,1203,27000,4,176291,18.536964450822786
Catamarca,1,2018,6145,3539,41000,4,108854,46.56512392746247
Jujuy,1,2018,8044,3925,49000,4,437999,13.920808038374515
Salta,4,2014,12552,1922,0,4,147912,9.788252474444265
Tucumán,3,2016,36518,13150,1288,4,278177,18.31927154293849
Santa Cruz,4,2018,779000,206000,1000,4,1680111,58.68683676257105
La Rioja,2,2016,3190,1344,3000,5,29733,25.355665422258095
Formosa,1,2016,3229,2906,544000,5,571772,96.21667377905878
San Luis,1,2020,4164,525000,58258,5,739824,79.40091156815676
San Luis,2,2019,4964,467000,57236,5,742757,71.24873949353557
San Luis,3,2019,5113,467000,62242,5,746078,71.62253812604044
Salta,1,2015,13955,2569,15000,5,111795,28.202513529227602
Salta,2,2015,16241,3114,29000,5,127240,38.00691606413078
Salta,4,2015,17139,6507,99000,5,200837,61.06992237486121
Salta,3,2015,17451,4318,61000,5,161528,51.24436630181764
Catamarca,2,2018,6112,4347,36000,6,104003,44.6765958674269
Catamarca,3,2018,6358,5320,34000,7,102305,44.655686427838326
Catamarca,4,2018,6425,5461,29000,7,96520,42.36738499792789
Catamarca,1,2019,6443,5606,29000,7,97676,42.0328432777755
San Luis,3,2017,7000,0,1000,7,86332,9.274660612519112
San Luis,4,2017,8000,0,1000,7,183731,4.902275609450773
Jujuy,2,2018,8083,3977,44000,7,433706,12.927420879582021
San Luis,3,2020,3351,2666,61319,8,221460,30.40910322405852
San Luis,2,2020,3585,1934,60889,8,218847,30.348142766407584
Santa Cruz,4,2019,4346,2224,7000,8,462946,2.9329554634881823
Río Negro,1,2014,73000,1062,1000,8,168662,44.50913661642812
Río Negro,2,2014,78000,1569,2000,8,175530,46.47467669344272
San Luis,4,2021,4276,9107,67363,9,444523,18.166664042130552
Chubut,4,2017,5355,7000,5000,9,172353,10.074672329463368
Chubut,1,2018,5358,4000,5000,9,173852,8.263925637898902
Chubut,2,2018,5369,4000,5000,9,176457,8.148160741710445
Corrientes,4,2014,7513,2106,0,9,105670,9.111384498911706
Mendoza,1,2014,19000,10000,6000,9,242664,14.426944252134637
Río Negro,3,2014,87000,1944,8000,9,192650,50.32597975603426
Formosa,2,2016,3569,3218,593000,10,621243,96.54788866836327
Formosa,3,2016,3964,3658,648000,10,677213,96.81326259241922
Catamarca,2,2019,8670,6049,34000,10,144511,33.71992443481811
La Pampa,3,2015,9000,55000,39000,10,776757,13.261547691234195
La Pampa,4,2015,16000,63000,49000,10,781759,16.37461161304187
La Pampa,1,2014,17000,5000,4000,10,72480,35.88576158940398
La Pampa,2,2014,18000,5000,4000,10,74892,36.065267318271644
La Pampa,3,2014,24000,5000,4000,10,87122,37.88939647850141
La Pampa,4,2014,26000,5000,4000,10,84675,41.34632418069087
