Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
2015,4,Mendoza,19.06,68.31
2015,4,Misiones,9.35,34.31
2015,4,Neuquén,17.37,58.34
2015,4,Río Negro,19.22,62.47
2015,4,Salta,10.52,43.45
2015,4,San Juan,14.06,55.19
2015,4,San Luis,11.07,38.67
2015,4,Santa Cruz,16.32,54.85
2015,4,Santa Fe,22.24,70.73
2015,4,Santiago del Estero,7.35,29.62
2015,4,Tierra del Fuego,23.06,77.77
2015,4,Tucumán,13.35,53.87
2016,1,Buenos Aires,29.04,91.20
2016,1,Capital Federal,52.62,123.37
2016,1,Catamarca,9.68,38.05
2016,1,Chaco,8.86,33.16
2016,1,Chubut,21.36,69.67
2016,1,Córdoba,19.56,63.87
2016,1,Corrientes,9.47,35.97
2016,1,Entre Ríos,16.77,56.10
2016,1,Formosa,7.06,27.73
2016,1,Jujuy,7.69,30.07
2016,1,La Pampa,24.15,73.30
2016,1,La Rioja,10.18,38.23
2016,1,Mendoza,20.06,71.88
2016,1,Misiones,9.60,35.26
2016,1,Neuquén,16.27,54.66
2016,1,Río Negro,20.64,67.09
2016,1,Salta,10.35,42.75
2016,1,San Juan,15.32,60.16
2016,1,San Luis,11.19,39.11
2016,1,Santa Cruz,14.47,48.61
2016,1,Santa Fe,21.72,69.06
2016,1,Santiago del Estero,6.90,27.79
2016,1,Tierra del Fuego,25.11,84.69
2016,1,Tucumán,13.17,53.16
2016,2,Buenos Aires,29.22,91.58
2016,2,Capital Federal,51.66,121.27
2016,2,Catamarca,9.63,37.85
2016,2,Chaco,8.92,33.37
2016,2,Chubut,20.00,65.24
2016,2,Córdoba,19.52,63.75
2016,2,Corrientes,9.49,36.03
2016,2,Entre Ríos,16.88,56.44
2016,2,Formosa,6.97,27.40
2016,2,Jujuy,7.66,29.96
2016,2,La Pampa,23.69,71.89
2016,2,La Rioja,10.17,38.19
2016,2,Mendoza,19.42,69.60
2016,2,Misiones,9.19,33.73
2016,2,Neuquén,15.75,52.92
2016,2,Río Negro,19.92,64.77
2016,2,Salta,10.31,42.56
2016,2,San Juan,14.37,56.40
2016,2,San Luis,11.03,38.53
2016,2,Santa Cruz,13.46,45.23
2016,2,Santa Fe,21.67,68.91
2016,2,Santiago del Estero,7.04,28.38
2016,2,Tierra del Fuego,24.32,82.01
2016,2,Tucumán,13.04,52.65
2016,3,Buenos Aires,28.33,88.63
2016,3,Capital Federal,52.45,123.09
2016,3,Catamarca,9.68,38.05
2016,3,Chaco,8.88,33.23
2016,3,Chubut,20.41,66.58
2016,3,Córdoba,19.50,63.68
2016,3,Corrientes,9.48,35.98
2016,3,Entre Ríos,16.81,56.22
2016,3,Formosa,7.04,27.67
2016,3,Jujuy,7.67,29.98
2016,3,La Pampa,23.88,72.49
2016,3,La Rioja,10.17,38.21
2016,3,Mendoza,19.77,70.85
2016,3,Misiones,9.17,33.68
2016,3,Neuquén,16.14,54.22
2016,3,Río Negro,20.25,65.84
2016,3,Salta,10.31,42.57
2016,3,San Juan,15.01,58.92
2016,3,San Luis,11.12,38.84
2016,3,Santa Cruz,13.51,45.40
2016,3,Santa Fe,21.57,68.60
2016,3,Santiago del Estero,6.97,28.10
2016,3,Tierra del Fuego,24.69,83.27
2016,3,Tucumán,13.08,52.81
2016,4,Buenos Aires,28.86,90.08
2016,4,Capital Federal,52.87,125.25
2016,4,Catamarca,9.61,37.79
2016,4,Chaco,8.79,32.90
2016,4,Chubut,21.07,68.73
2016,4,Córdoba,19.44,63.50
2016,4,Corrientes,9.41,35.72
2016,4,Entre Ríos,16.65,55.69
2016,4,Formosa,7.01,27.54
2016,4,Jujuy,7.62,29.81
2016,4,La Pampa,23.99,72.81
2016,4,La Rioja,10.07,37.83
2016,4,Mendoza,19.89,71.28
2016,4,Misiones,9.52,34.94
2016,4,Neuquén,16.10,54.08
2016,4,Río Negro,20.42,66.39
2016,4,Salta,10.25,42.32
2016,4,San Juan,15.19,59.65
2016,4,San Luis,11.08,38.72
2016,4,Santa Cruz,14.17,47.62
2016,4,Santa Fe,21.61,68.73
2016,4,Santiago del Estero,6.84,27.57
2016,4,Tierra del Fuego,24.61,83.01
2016,4,Tucumán,13.04,52.65
2017,1,Buenos Aires,29.04,91.20
2017,1,Capital Federal,52.62,123.37
2017,1,Catamarca,9.68,38.05
2017,1,Chaco,8.86,33.16
2017,1,Chubut,21.36,69.67
2017,1,Córdoba,19.56,63.87
2017,1,Corrientes,9.47,35.97
2017,1,Entre Ríos,16.77,56.10
2017,1,Formosa,7.06,27.73
2017,1,Jujuy,7.69,30.07
2017,1,La Pampa,24.15,73.30
2017,1,La Rioja,10.18,38.23
2017,1,Mendoza,20.06,71.88
2017,1,Misiones,9.60,35.26
2017,1,Neuquén,16.27,54.66
2017,1,Río Negro,20.64,67.09
2017,1,Salta,10.35,42.75
2017,1,San Juan,15.32,60.16
2017,1,San Luis,11.19,39.11
2017,1,Santa Cruz,14.47,48.61
2017,1,Santa Fe,21.72,69.06
2017,1,Santiago del Estero,6.90,27.79
2017,1,Tierra del Fuego,25.11,84.69
2017,1,Tucumán,13.17,53.16
2017,2,Buenos Aires,29.22,91.58
2017,2,Capital Federal,51.66,121.27
2017,2,Catamarca,9.63,37.85
2017,2,Chaco,8.92,33.37
2017,2,Chubut,20.00,65.24
2017,2,Córdoba,19.52,63.75
2017,2,Corrientes,9.49,36.03
2017,2,Entre Ríos,16.88,56.44
2017,2,Formosa,6.97,27.40
2017,2,Jujuy,7.66,29.96
2017,2,La Pampa,23.69,71.89
2017,2,La Rioja,10.17,38.19
2017,2,Mendoza,19.42,69.60
2017,2,Misiones,9.19,33.73
2017,2,Neuquén,15.75,52.92
2017,2,Río Negro,19.92,64.77
2017,2,Salta,10.31,42.56
2017,2,San Juan,14.37,56.40
2017,2,San Luis,11.03,38.53
2017,2,Santa Cruz,13.46,45.23
2017,2,Santa Fe,21.67,68.91
2017,2,Santiago del Estero,7.04,28.38
2017,2,Tierra del Fuego,24.32,82.01
2017,2,Tucumán,13.04,52.65
2017,3,Buenos Aires,28.33,88.63
2017,3,Capital Federal,52.45,123.09
2017,3,Catamarca,9.68,38.05
2017,3,Chaco,8.88,33.23
2017,3,Chubut,20.41,66.58
2017,3,Córdoba,19.50,63.68
2017,3,Corrientes,9.48,35.98
2017,3,Entre Ríos,16.81,56.22
2017,3,Formosa,7.04,27.67
2017,3,Jujuy,7.67,29.98
2017,3,La Pampa,23.88,72.49
2017,3,La Rioja,10.17,38.21
2017,3,Mendoza,19.77,70.85
2017,3,Misiones,9.17,33.68
2017,3,Neuquén,16.14,54.22
2017,3,Río Negro,20.25,65.84
2017,3,Salta,10.31,42.57
2017,3,San Juan,15.01,58.92
2017,3,San Luis,11.12,38.84
2017,3,Santa Cruz,13.51,45.40
2017,3,Santa Fe,21.57,68.60
2017,3,Santiago del Estero,6.97,28.10
2017,3,Tierra del Fuego,24.69,83.27
2017,3,Tucumán,13.08,52.81
2017,4,Buenos Aires,28.86,90.08
2017,4,Capital Federal,52.87,125.25
2017,4,Catamarca,9.61,37.79
2017,4,Chaco,8.79,32.90
2017,4,Chubut,21.07,68.73
2017,4,Córdoba,19.44,63.50
2017,4,Corrientes,9.41,35.72
2017,4,Entre Ríos,16.65,55.69
2017,4,Formosa,7.01,27.54
2017,4,Jujuy,7.62,29.81
2017,4,La Pampa,23.99,72.81
2017,4,La Rioja,10.07,37.83
2017,4,Mendoza,19.89,71.28
2017,4,Misiones,9.52,34.94
2017,4,Neuquén,16.10,54.08
2017,4,Río Negro,20.42,66.39
2017,4,Salta,10.25,42.32
2017,4,San Juan,15.19,59.65
2017,4,San Luis,11.08,38.72
2017,4,Santa Cruz,14.17,47.62
2017,4,Santa Fe,21.61,68.73
2017,4,Santiago del Estero,6.84,27.57
2017,4,Tierra del Fuego,24.61,83.01
2017,4,Tucumán,13.04,52.65
2018,1,Buenos Aires,25.89,79.97
2018,1,Capital Federal,56.48,134.65
2018,1,Catamarca,9.43,37.07
2018,1,Chaco,8.42,31.50
2018,1,Chubut,19.16,62.50
2018,1,Córdoba,18.85,61.55
2018,1,Corrientes,9.07,34.44
2018,1,Entre Ríos,15.90,53.19
2018,1,Formosa,6.76,26.56
2018,1,Jujuy,7.23,28.27
2018,1,La Pampa,21.42,65.02
2018,1,La Rioja,9.43,35.43
2018,1,Mendoza,18.56,66.49
2018,1,Misiones,8.42,30.90
2018,1,Neuquén,15.10,50.72
2018,1,Río Negro,19.28,62.69
2018,1,Salta,9.70,40.03
2018,1,San Juan,15.12,59.37
2018,1,San Luis,8.98,31.38
2018,1,Santa Cruz,12.83,43.11
2018,1,Santa Fe,19.84,63.11
2018,1,Santiago del Estero,5.98,24.11
2018,1,Tierra del Fuego,20.41,68.83
2018,1,Tucumán,13.03,52.62
2018,2,Buenos Aires,26.06,80.31
2018,2,Capital Federal,56.81,135.61
2018,2,Catamarca,9.36,36.78
2018,2,Chaco,8.31,31.08
2018,2,Chubut,19.58,63.88
2018,2,Córdoba,18.58,60.68
2018,2,Corrientes,9.00,34.17
2018,2,Entre Ríos,15.72,52.57
2018,2,Formosa,6.68,26.25
2018,2,Jujuy,7.12,27.85
2018,2,La Pampa,21.50,65.25
2018,2,La Rioja,9.19,34.51
2018,2,Mendoza,18.51,66.32
2018,2,Misiones,8.77,32.21
2018,2,Neuquén,15.04,50.51
2018,2,Río Negro,19.21,62.45
2018,2,Salta,9.51,39.27
2018,2,San Juan,15.08,59.21
2018,2,San Luis,8.95,31.28
2018,2,Santa Cruz,12.76,42.88
2018,2,Santa Fe,19.70,62.64
2018,2,Santiago del Estero,5.77,23.23
2018,2,Tierra del Fuego,20.28,68.38
2018,2,Tucumán,12.97,52.34
2018,3,Buenos Aires,26.08,80.19
2018,3,Capital Federal,57.86,138.28
2018,3,Catamarca,9.27,36.43
2018,3,Chaco,7.75,28.99
2018,3,Chubut,19.49,63.59
2018,3,Córdoba,18.28,59.71
2018,3,Corrientes,8.60,32.65
2018,3,Entre Ríos,14.69,49.14
2018,3,Formosa,6.61,25.98
2018,3,Jujuy,7.02,27.47
2018,3,La Pampa,21.45,65.11
2018,3,La Rioja,9.00,33.79
2018,3,Mendoza,18.46,66.15
2018,3,Misiones,8.41,30.87
2018,3,Neuquén,14.98,50.34
2018,3,Río Negro,19.14,62.22
2018,3,Salta,9.31,38.45
2018,3,San Juan,15.04,59.04
2018,3,San Luis,8.92,31.17
2018,3,Santa Cruz,12.66,42.55
2018,3,Santa Fe,19.29,61.36
2018,3,Santiago del Estero,5.59,22.53
2018,3,Tierra del Fuego,20.15,67.95
2018,3,Tucumán,12.89,52.05
2018,4,Buenos Aires,26.40,80.98
2018,4,Capital Federal,57.12,136.67
2018,4,Catamarca,9.02,35.48
2018,4,Chaco,8.08,30.22
2018,4,Chubut,19.50,63.61
2018,4,Córdoba,18.14,59.23
2018,4,Corrientes,8.77,33.30
2018,4,Entre Ríos,15.19,50.79
2018,4,Formosa,6.48,25.46
2018,4,Jujuy,6.92,27.07
2018,4,La Pampa,21.62,65.62
2018,4,La Rioja,8.79,33.01
2018,4,Mendoza,18.42,66.01
2018,4,Misiones,8.41,30.89
2018,4,Neuquén,16.78,56.38
2018,4,Río Negro,19.07,62.01
2018,4,Salta,9.05,37.35
2018,4,San Juan,15.01,58.92
2018,4,San Luis,10.40,36.34
2018,4,Santa Cruz,12.60,42.35
2018,4,Santa Fe,19.97,63.51
2018,4,Santiago del Estero,7.71,31.05
2018,4,Tierra del Fuego,20.02,67.52
2018,4,Tucumán,12.65,51.07
2019,1,Buenos Aires,20.58,63.00
2019,1,Capital Federal,52.10,124.82
2019,1,Catamarca,8.81,34.64
2019,1,Chaco,7.88,29.50
2019,1,Chubut,14.67,47.84
2019,1,Córdoba,17.69,57.78
2019,1,Corrientes,8.58,32.59
2019,1,Entre Ríos,14.88,49.78
2019,1,Formosa,6.32,24.81
